0.250,91.48
0.375,52.35
0.500,37.79
0.625,29.24
0.750,23.52
0.875,19.55
1.000,16.67
1.125,14.44
1.250,12.67
1.375,11.24
0.250,90.80
0.375,51.22
0.500,36.60
0.625,28.22
0.750,22.67
0.875,18.87
1.000,16.07
1.125,13.90
1.250,12.18
1.375,12.80
0.250,101.00
0.375,60.00
0.500,43.99
0.625,34.34
0.750,27.90
0.875,23.27
1.000,19.86
1.125,17.26
1.250,15.22
1.375,13.56
0.250,91.97
0.375,53.07
0.500,38.00
0.625,29.70
0.750,23.92
0.875,19.87
1.000,16.96
1.125,14.70
1.250,12.90
1.375,11.45
